x,y,z
0.2862191,-0.2738516,0.16842106
-0.003533569,-0.19787987,0.2
-0.03533569,-0.17667845,0
-0.2614841,0.16077739,0.06315789
-0.037102472,-0.27031803,0
-0.1024735,0.06537102,0.2
0.295053,0.17137809,0.2
-0.25265017,0.13074204,0
0.28798586,-0.2844523,0.05263158
0.024734983,0.16254418,0
-0.12190813,-0.30388692,0.17894737
-0.14487633,-0.077738516,0
-0.28798586,0.11837456,0.2
0.34628975,-0.21024735,0
0.28268552,0.25795054,0
0.27561837,0.23674911,0.2
0.2862191,-0.005300353,0
-0.17667845,0.042402826,0
0.045936394,0.16254418,0.2
0.017667845,0.23674911,0.14736842
-0.29858658,0.08303887,0
-0.056537103,-0.34628975,0.042105265
-0.1024735,0.077738516,0.010526316
0.054770317,-0.038869258,0
-0.23498233,-0.08127209,0.12631579
-0.17844523,-0.09187279,0
0.024734983,0.22084805,0.2
-0.3286219,0.1024735,0.14736842
-0.03180212,-0.06537102,0.17894737
-0.3091873,0.24734983,0
0.077738516,0.058303885,0
-0.08303887,0.077738516,0.12631579
-0.23498233,-0.033568904,0.2
0.34275618,-0.30212015,0
-0.10600707,0.030035336,0.2
0.017667845,0.23321554,0.07368421
-0.12014134,-0.26678446,0
0.019434629,0.24911661,0.15789473
-0.07597173,-0.010600707,0.094736844
0.3074205,-0.19787987,0.2
-0.20848057,0.077738516,0.18947369
0.045936394,0.19611308,0
0.2932862,-0.30035335,0
-0.3162544,0.077738516,0.10526316
0.040636044,0.109540634,0.2
0.022968197,-0.08480565,0
0.03533569,0.022968197,0.2
0.10600707,0.25265017,0.2
0.07597173,-0.017667845,0.2
0.33392227,0.014134276,0.021052632
-0.22261484,-0.0795053,0
-0.07597173,0.022968197,0.2
-0.295053,0.20671378,0
-0.01590106,-0.022968197,0.2
0.295053,-0.31978798,0.1368421
0.34982333,-0.34628975,0.16842106
0.26678446,-0.16254418,0.12631579
-0.11660777,0.077738516,0.010526316
0.28268552,-0.061837457,0
-0.1590106,-0.16431095,0.2
0.26855123,0.3886926,0.094736844
-0.042402826,-0.24204947,0
0.022968197,-0.26501766,0.2
0.3975265,-0.3392226,0
-0.049469966,0.026501767,0.2
-0.27738515,0.19081272,0.12631579
0.054770317,-0.09540636,0
-0.093639575,-0.34628975,0.11578947
-0.26855123,0.15371025,0.2
0.32508835,0.030035336,0
-0.22968198,0.09893993,0.08421053
-0.3162544,0.14840989,0
0.088339224,0.056537103,0.2
0.11130742,0.22261484,0
0.3180212,-0.021201413,0.2
-0.019434629,-0.2720848,0
-0.27738515,0.18374558,0
0.06007067,0.09893993,0.2
-0.123674914,-0.11484099,0
0.049469966,0.21201414,0
0.27738515,0.2632509,0
-0.25441697,0.08657244,0.2
0.001766785,-0.12897527,0
0.24204947,0.18021202,0.2
0.044169612,0.1943463,0
0.008833922,-0.16077739,0.2
0.3833922,-0.2632509,0.15789473
0.31448764,-0.30035335,0.2
0.05123675,-0.06713781,0
0.054770317,-0.16254418,0.07368421
-0.31448764,0.2632509,0.10526316
-0.295053,0.22614841,0.15789473
-0.3833922,0.22084805,0.2
0.24911661,0.41342756,0.06315789
-0.06360424,-0.31978798,0.2
0.39222616,-0.34628975,0.14736842
0.2279152,0.09717315,0.2
-0.03533569,-0.10424028,0.2
-0.17491166,0.077738516,0.17894737
0.32508835,0.056537103,0
-0.27915195,0.03180212,0
0.33568904,-0.33392227,0.2
0.27915195,-0.17491166,0.2
0.10600707,0.17844523,0
-0.23674911,0.11130742,0.18947369
0.019434629,-0.07597173,0.2
-0.18021202,-0.030035336,0.2
-0.3074205,0.06007067,0.05263158
0.19964664,0.21731448,0.031578947
0.26855123,0.017667845,0
-0.109540634,0.019434629,0
0.054770317,-0.08303887,0
0.33215547,-0.038869258,0.2
0.012367492,0.204947,0.2
0.072438166,-0.049469966,0.12631579
-0.005300353,-0.11660777,0
0.3074205,-0.07067138,0.2
-0.033568904,-0.27561837,0
-0.012367492,-0.32332155,0.2
0.003533569,-0.1590106,0.2
0.31448764,0.13074204,0.010526316
0.2155477,0.3533569,0
0.037102472,-0.24028268,0
0.20848057,0.31448764,0.094736844
0.10777385,0.18021202,0.2
0.08303887,0.17667845,0.2
0.03533569,-0.27915195,0.06315789
-0.3833922,0.2632509,0.1368421
-0.09717315,0.026501767,0.2
-0.14840989,-0.056537103,0.094736844
0.28798586,0.13957597,0
0.008833922,-0.31978798,0
0.32155478,-0.24734983,0.2
0.33392227,0.01590106,0.12631579
0.026501767,-0.31978798,0.2
0.06713781,-0.08127209,0.2
0.037102472,-0.27561837,0.1368421
0.024734983,0.054770317,0.2
-0.33392227,0.2632509,0.042105265
0.007067138,0.08480565,0.2
0.25795054,-0.11484099,0.094736844
0.24204947,0.09010601,0
0.31272084,0.09893993,0.2
-0.019434629,-0.3180212,0.2
0.18551236,0.3833922,0.2
0.06537102,-0.09717315,0.06315789
0.19964664,0.21731448,0.16842106
0.2632509,0.31448764,0.06315789
0.37102473,-0.29858658,0
0.014134276,-0.24911661,0.2
-0.21731448,-0.11660777,0
-0.040636044,-0.010600707,0.042105265
0.3286219,-0.21378092,0.2
-0.14487633,-0.08480565,0
-0.1590106,-0.19257951,0.2
0.27031803,0.12897527,0.2
-0.34805652,0.15547703,0.2
-0.077738516,0.024734983,0.2
0.33392227,0.017667845,0.08421053
0.27561837,0.2155477,0
0.093639575,0.09010601,0.07368421
0.06007067,-0.06890459,0.2
0.077738516,0.20671378,0
-0.21378092,-0.06537102,0.2
-0.2720848,0.17314488,0.2
0.05123675,-0.054770317,0.2
-0.054770317,-0.23498233,0.2
-0.019434629,-0.11660777,0.2
0.22968198,0.09893993,0
0.16607773,0.4116608,0.2
-0.27915195,0.1943463,0
-0.32332155,0.09010601,0.031578947
0.03180212,-0.16431095,0.2
0.3286219,0.038869258,0
0.26855123,0.028268551,0
0.003533569,-0.3091873,0
0.2844523,-0.26678446,0.17894737
0.28975266,-0.058303885,0
-0.23674911,0.11130742,0.094736844
0.017667845,0.24028268,0
0.021201413,0.23144877,0.2
0.39399293,-0.32332155,0.042105265
-0.26855123,0.045936394,0.2
-0.34805652,0.21024735,0
0.25441697,0.040636044,0.2
0.19787987,0.22261484,0.06315789
0.22438163,0.41342756,0.17894737
-0.30212015,0.24028268,0.11578947
-0.07067138,-0.33568904,0.2
0.21908127,0.21024735,0.2
0.11484099,0.25795054,0.2
-0.053003535,-0.21731448,0.010526316
-0.19611308,-0.12014134,0
0.09010601,0.15017667,0.2
0.3091873,-0.044169612,0.2
0.25265017,0.409894,0
0.012367492,0.001766785,0.2
-0.17667845,0.003533569,0
-0.012367492,0.07067138,0.2
-0.23321554,-0.030035336,0.2
0.2385159,0.31448764,0.16842106
0.08657244,0.19787987,0.2
0.2279152,0.06360424,0
-0.18904594,-0.16784452,0
0.003533569,-0.13780919,0
0.20671378,0.21731448,0.2
0.35512367,-0.24204947,0
0.24734983,0.09540636,0
-0.11484099,-0.3180212,0.2
0.1943463,0.31448764,0.08421053
-0.3303887,0.11837456,0.2
-0.2632509,0.13780919,0
0.061837457,0.13957597,0.2
-0.24028268,-0.07067138,0
0.27915195,0.32332155,0.031578947
-0.0795053,0.077738516,0.021052632
-0.15547703,-0.2385159,0.042105265
-0.13780919,-0.010600707,0.031578947
-0.16431095,0.077738516,0
0.25971732,-0.12014134,0.12631579
-0.033568904,-0.25971732,0
-0.08127209,-0.23321554,0.2
-0.15371025,-0.23321554,0.2
0.32685512,0.058303885,0.14736842
0.31978798,-0.11130742,0
-0.3162544,0.15371025,0
-0.30212015,0.24204947,0.08421053
0.06360424,0.2614841,0
0.053003535,0.16607773,0
-0.3392226,0.19257951,0
-0.26501766,0.077738516,0.2
0.2632509,-0.09540636,0
0.34452298,-0.21024735,0
0.23498233,0.36395758,0
0.24381626,0.21908127,0.2
0.06890459,-0.05123675,0.2
0.028268551,-0.14134276,0.2
0.010600707,0.19081272,0.094736844
-0.09893993,-0.24558304,0.2
0.23144877,0.037102472,0.17894737
0.1943463,0.34452298,0.2
-0.2720848,0.1254417,0
0.30565372,0.17844523,0.15789473
-0.40282685,0.2632509,0.1368421
-0.16254418,-0.045936394,0.2
-0.04770318,-0.18727915,0.11578947
0.072438166,0.22614841,0
-0.11660777,0.040636044,0.2
0.37985864,-0.31448764,0.2
-0.40636042,0.25795054,0.2
0.29151943,0.19787987,0
0,-0.15017667,0.2
-0.31095406,0.0795053,0.2
-0.061837457,-0.23674911,0.2
0.056537103,0.06890459,0
-0.2844523,0.08303887,0.2
0.16784452,0.40282685,0.1368421
0.028268551,-0.3286219,0.16842106
0.10424028,0.22261484,0
0.093639575,0.21024735,0
-0.09893993,-0.26855123,0
0.054770317,-0.06007067,0
-0.3409894,0.12720849,0.021052632
0.32155478,-0.088339224,0
-0.010600707,-0.3286219,0.2
-0.01590106,-0.18551236,0
-0.16607773,0.04770318,0.2
-0.038869258,0.053003535,0
-0.10600707,-0.26678446,0
0.11484099,0.2632509,0.042105265
0.3162544,-0.13250883,0
0.030035336,0.21908127,0
-0.32508835,0.19787987,0.2
0.22261484,0.2632509,0.021052632
0.072438166,0.17667845,0
0.31272084,-0.34628975,0.17894737
0.021201413,0.15194346,0.2
0.3833922,-0.3162544,0.2
-0.012367492,-0.28091872,0.2
-0.3074205,0.17667845,0.2
0.32332155,-0.16431095,0
-0.2932862,0.16431095,0.2
0.28975266,-0.08480565,0
0.22438163,0.1466431,0
-0.010600707,-0.20141342,0
0.20671378,0.18021202,0.021052632
